ID,name,reel_link
90,"Sattvik Kitchen
",https://www.instagram.com/reel/CdZwBEjoIub/?igsh=cnJhbzRxMWVzbHpv
91,Kavali,https://www.instagram.com/reel/CiUdhDxgZW1/?igsh=YzVia3djZ2hnZncz
92,Paddu Centre,https://www.instagram.com/reel/Ckcd2Pspal2/?igsh=MWh0dmRoNmZtdzNzdg%3D%3D
93,Kulfilcious,https://www.instagram.com/nammakarnatakatrends/reel/CxrgpF2v6fq/
94,Dose Camp,https://www.instagram.com/reel/CzKwJC2P5xZ/?igsh=ZW13Z2h1MTgzZnli
95,Guru Raghavendra Chats,https://www.instagram.com/reel/C2AEiePPFz2/?igsh=c2E2ajJ3bzMzZWU5
96,Gobi Centre,https://www.instagram.com/reel/CyLZhmJPR2-/?igsh=aDZpM2N1OHg4Z2d2
97,Udupi Sri Krishna Bhavan,https://www.instagram.com/reel/CyLXk16Pd1d/?igsh=MTFhMnEwZmlseGU3eg==
98,"Sri Venkateshwara Sweet House
",https://www.instagram.com/reel/C2AOe_fJUL7/?igsh=Z2d2Ym00eTV2YW5w
99,Agarwal Foods,https://www.instagram.com/reel/C165cIxP7iZ/?igsh=NHo0YnBoOHZ4Njln
100, Ferrara-Osteria Diner,https://www.instagram.com/reel/C2R0mlzv4Bx/?igsh=MXdsZTdsMXNwdDNscw==
101,Litti Dhuska Wale,https://www.instagram.com/reel/C3SqsAnL3c3/?igsh=NXlmbTNocjQ0bWN1
102,Corner House,https://www.instagram.com/reel/C0X-qO_Pi0Q/?igsh=MWpsNGZkd2pxNnpsNw==
103,Harley's Fine Bakery,https://www.instagram.com/reel/C21NUIdPDlW/?igsh=MXE0ZTBjdng5dXF6Ng==
104,Kebapci Forum South,https://www.instagram.com/reel/C20Aa8XooM3/?igsh=YnFlZ3c5bHIwanl4
105,Basque Bakery,https://www.instagram.com/reel/C2CmrnXLD8s/?igsh=cThsaWQybmh6ZDEz
106,Kidambi's Kitchen,https://www.instagram.com/reel/C14MZz_r_sY/?igsh=cDdxenI2M214ZHJ5
107,Cafe Khadya,https://www.instagram.com/reel/C1YZ0RerPEF/?igsh=b3ptbnFlbzAxN3Z0
108,Himalayan Momos,https://www.instagram.com/reel/C2Y2opqpd9v/?igsh=cnFyYXR1OTBvaWU0
109,Yum Sum momos,https://www.instagram.com/reel/C1wlGfhvi9j/?igsh=MTBhNjhqeWV0eGV5Ng==
110,Kalabhairaveshwara Tifen Center,https://www.instagram.com/reel/C2o8CMIhZN_/?igsh=MXhuYW9raWJtZWN1cA==
111,Sri Vinayaka Juice Center,https://www.instagram.com/reel/C3QUsg9v3W0/?igsh=ZnFjeHBsd3NubWZr
